event,radius_arcsec,k,k_used,n_matched,frac_gal_matched,weight_matched,weight_topk,weight_total,frac_weight_matched_topk,frac_weight_matched_total,control
GW200308_173609,3.0,200,200,9,0.045,0.0007973115088246246,0.017171999996227677,0.29777197748631556,0.04643090548566137,0.0026775908047333495,true
GW200220_061928,3.0,200,200,16,0.08,0.005173898469541338,0.08551970071403917,3.1051843665252945,0.06049949223795606,0.0016662129712223617,true
GW200208_130117,3.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,true
GW200219_094415,3.0,200,200,174,0.87,0.7473551725740034,0.867284692199999,28.962053894505136,0.8617183945426544,0.025804633031077825,true
GW191230_180458,3.0,200,200,108,0.54,0.07470735229730024,0.14215075165747582,11.822058517050435,0.5255501742074069,0.006319318432534665,true
GW200308_173609,3.0,1000,1000,44,0.044,0.0025347218443259358,0.056446490024904435,0.29777197748631556,0.04490486198889613,0.008512291404057393,true
GW200220_061928,3.0,1000,1000,60,0.06,0.012194014961244585,0.21543247199848725,3.1051843665252945,0.05660249287456633,0.003926985815302717,true
GW200208_130117,3.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,true
GW200219_094415,3.0,1000,1000,444,0.444,1.357416884817232,2.5809111163214116,28.962053894505136,0.525944840267094,0.04686880598184267,true
GW191230_180458,3.0,1000,1000,149,0.149,0.09031801711282166,0.42152861407953995,11.822058517050435,0.21426307514151147,0.0076397876886296874,true
GW200308_173609,3.0,5000,5000,264,0.0528,0.00823784901304301,0.1632609487257954,0.29777197748631556,0.05045817188578802,0.027664957201762173,true
GW200220_061928,3.0,5000,5000,268,0.0536,0.034380105434774155,0.644469895457261,3.1051843665252945,0.05334633266365524,0.011071840308550032,true
GW200208_130117,3.0,5000,5000,2,0.0004,0.0029262860462860515,106.84455029185061,107.00923063356746,2.7388257410347763e-05,2.7346108639044008e-05,true
GW200219_094415,3.0,5000,5000,912,0.1824,1.9702934575074225,7.655148935334509,28.962053894505136,0.2573814662720636,0.06803017025948008,true
GW191230_180458,3.0,5000,5000,177,0.0354,0.09752473830493051,1.4227231336255173,11.822058517050435,0.06854793880831106,0.008249387208181627,true
GW200308_173609,3.0,20000,20000,1185,0.05925,0.018581714631100556,0.29777197748631556,0.29777197748631556,0.062402495990256504,0.062402495990256504,true
GW200220_061928,3.0,20000,20000,1583,0.07915,0.11690860730462682,1.6113936945266558,3.1051843665252945,0.07255123791394041,0.03764948985475143,true
GW200208_130117,3.0,20000,11255,181,0.016081741448245226,0.0029262860462860515,107.00923063356746,107.00923063356746,2.7346108639044008e-05,2.7346108639044008e-05,true
GW200219_094415,3.0,20000,20000,1506,0.0753,2.3437328157059287,16.73584011084747,28.962053894505136,0.14004273464508182,0.08092426125035962,true
GW191230_180458,3.0,20000,20000,253,0.01265,0.11062336562866006,4.047754875819917,11.822058517050435,0.027329561453805197,0.009357369147607656,true
GW200308_173609,10.0,200,200,9,0.045,0.0007973115088246246,0.017171999996227677,0.29777197748631556,0.04643090548566137,0.0026775908047333495,true
GW200220_061928,10.0,200,200,19,0.095,0.009796904764737564,0.08551970071403917,3.1051843665252945,0.11455728543176806,0.003155015486471843,true
GW200208_130117,10.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,true
GW200219_094415,10.0,200,200,176,0.88,0.7659880570655053,0.867284692199999,28.962053894505136,0.8832025561554194,0.0264479881107753,true
GW191230_180458,10.0,200,200,110,0.55,0.07648823299385737,0.14215075165747582,11.822058517050435,0.5380782873252912,0.0064699589232739595,true
GW200308_173609,10.0,1000,1000,49,0.049,0.002775971687380215,0.056446490024904435,0.29777197748631556,0.049178818490847605,0.009322474568674912,true
GW200220_061928,10.0,1000,1000,66,0.066,0.017282070151297117,0.21543247199848725,3.1051843665252945,0.08022035856980034,0.005565553639134083,true
GW200208_130117,10.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,true
GW200219_094415,10.0,1000,1000,453,0.453,1.3920345800204486,2.5809111163214116,28.962053894505136,0.5393578148497125,0.04806408361406144,true
GW191230_180458,10.0,1000,1000,153,0.153,0.09279412238033061,0.42152861407953995,11.822058517050435,0.22013718471510668,0.007849235583337515,true
GW200308_173609,10.0,5000,5000,285,0.057,0.008888078590605569,0.1632609487257954,0.29777197748631556,0.054440934344523025,0.029848606526495697,true
GW200220_061928,10.0,5000,5000,288,0.0576,0.04094786761554232,0.644469895457261,3.1051843665252945,0.0635372853009514,0.013186936034127673,true
GW200208_130117,10.0,5000,5000,2,0.0004,0.0029262860462860515,106.84455029185061,107.00923063356746,2.7388257410347763e-05,2.7346108639044008e-05,true
